District,Organic Tons,MGP tons,Paper Tons,Refuse Tons,Diversion rate (%),Total Population,Median Age,Population/acre,Hispanic,White non-Hispanic,Black non-hispanic,Asian non-hispanic,Others non-hispanic,Non-hispanic of 2 or more races,Family household(%),Non-family household (%),Housing units,Median household income (dollars),Mean household income (dollars),Paper bins,MGP bins,Capture rates paper (2019),Capture rates MGP (2019),Capture rates total (2019),Number of Commercial/Office buildings,Number of Industrial/Manufacturing buildings,Number of Recreation/Outdoors,Organic Tons per person,Paper Tons per person,Refuse Tons per person,MGP Tons per person,Paper bins per person,MGP bins per person
MN02,1.6,10.1,15.5,83.3,24.6,92445,35.9,106.1,7.9,71.4,2.5,12.9,0.9,4.5,31.1,68.9,58418,150643,265305,56,56,40.75833333333334,82.575,51.06666666666666,35.0,13.0,47.0,1.7307588295743418e-05,0.00016766726161501433,0.0009010763156471416,0.0001092541511168803,0.0006057655903510196,0.0006057655903510196
MN03,2.5,10.3,14.1,169.3,13.7,163141,36.8,151.1,23.7,33.7,7.8,30.8,0.9,3.1,40.8,59.2,82589,54473,107327,47,47,41.958333333333336,42.416666666666664,42.15833333333333,28.0,28.0,41.0,1.5324167437983093e-05,8.642830435022465e-05,0.0010377526189002152,6.313556984449036e-05,0.0002880943478340822,0.0002880943478340822
MN04,0.6,12.9,18.6,121.8,20.9,129265,36.6,116.3,17.8,52.8,7.0,17.4,1.0,4.1,29.6,70.4,82889,109674,178482,39,39,34.083333333333336,73.94166666666666,43.925000000000004,41.0,52.0,13.0,4.6416276641008775e-06,0.00014389045758712724,0.0009422504158124783,9.979499477816888e-05,0.0003017057981665571,0.0003017057981665571
MN05,0.0,6.1,10.3,66.6,19.8,58789,35.2,65.0,12.6,56.0,7.6,19.1,1.0,3.7,31.5,68.5,39593,162209,268373,61,60,33.958333333333336,62.17500000000001,40.925000000000004,22.0,14.0,52.0,0.0,0.0001752028440694688,0.0011328649917501572,0.00010376090765279218,0.001037609076527922,0.0010205990916668083
MN06,0.4,13.8,20.4,127.5,21.4,160425,35.6,161.2,8.9,65.1,3.6,17.6,1.0,3.9,31.9,68.1,102101,148400,221164,12,12,35.25833333333333,71.76666666666667,44.28333333333333,17.0,6.0,52.0,2.4933769674302636e-06,0.00012716222533894341,0.0007947639083683964,8.60215053763441e-05,7.480130902290791e-05,7.480130902290791e-05
MN07,3.9,25.9,38.2,190.1,26.3,224215,42.3,178.8,14.8,63.0,6.7,10.4,1.0,4.2,44.6,55.4,127865,136293,241053,144,144,42.05833333333333,79.53333333333333,51.30833333333333,18.0,13.0,43.0,1.7394019133421047e-05,0.00017037218740940615,0.0008478469326316259,0.00011551412706553976,0.0006422407064647771,0.0006422407064647771
MN08,0.8,26.7,41.9,208.9,24.9,231983,39.3,182.3,8.0,73.5,2.7,11.4,0.8,3.7,41.8,58.2,138922,143941,251575,65,65,42.80833333333333,77.60833333333333,51.383333333333326,24.0,15.0,20.0,3.448528555971774e-06,0.00018061668311902164,0.0009004970191781295,0.00011509464055555794,0.0002801929451727066,0.0002801929451727066
MN09,3.0,9.3,12.2,117.2,17.2,110458,32.8,112.5,38.5,25.6,21.1,9.8,1.2,3.8,48.3,51.7,44900,64556,107601,32,32,56.24166666666667,50.175000000000004,53.57499999999999,16.0,12.0,16.0,2.715964438972279e-05,0.000110449220518206,0.0010610367741585038,8.419489760814066e-05,0.0002897028734903764,0.0002897028734903764
MN10,1.8,11.5,10.7,139.5,14.7,130440,36.6,148.5,23.7,15.2,51.8,3.9,1.1,4.3,49.6,50.4,61629,58647,96441,83,83,39.46666666666667,54.95833333333334,46.25,6.0,48.0,42.0,1.3799448022079117e-05,8.203005213124807e-05,0.0010694572217111317,8.816314014106103e-05,0.0006363078810180926,0.0006363078810180926
MN11,0.6,6.7,11.1,158.0,10.4,125771,36.2,82.6,45.1,15.0,28.1,7.8,1.0,3.0,53.3,46.7,54738,37503,74660,90,90,40.14166666666666,31.349999999999998,36.28333333333334,34.0,15.0,11.0,4.77057509282744e-06,8.825563921730764e-05,0.001256251441111226,5.327142186990642e-05,0.000715586263924116,0.000715586263924116
